"","Tree_Density","Maximum_DBH","Average_DBH","sd","Observed_Biomass","LAT","LON","PLT_CN","original_plot"
"1",374.3881258,13.5,11.1029674771699,1.38895032543858,7178.1463434534,30.22,-82.36,155766465010854,8
"2",897.36849748,15.2,7.75094106257504,2.59513178754163,10475.8773779098,30.33,-82.58,155767167010854,22
"3",738.4845026,13.1,8.26787735719371,1.78679365874948,8014.15644996243,29.11,-82.56,155768958010854,45
"4",695.81099679,13.1,8.46099907570994,2.39298914724316,8479.96115865679,29.47,-81.81,155769406010854,61
"5",144.32752659,19.9,15.5158490087237,1.97139469889303,6537.02092696978,29.83,-81.36,155770275010854,69
"6",385.93933521,15,10.3509223850539,2.09984335255351,6653.41084672636,30.33,-83.11,155770631010854,70
"7",3598.88737975,10.2,4.81812372022809,2.05431253707901,9972.37776282211,30.22,-85.22,155766825010854,98
"8",1144.19887517,16.9,8.12458421782299,2.36831685616237,13135.3494014307,30.36,-84.36,155768799010854,126
"9",1053.58072794,13.2,7.01819290467706,2.36955801676287,8616.69636994028,30.06,-84.75,155769059010854,136
"10",647.16498405,14.3,9.35814234385569,2.20725313150862,8603.13815099869,30.69,-87,155770334010854,155
"11",851.68430373,14.6,7.59813051659632,2.48796449336831,7729.9536831846,30.89,-86.92,155770362010854,163
"12",525.13789198,13,10.3249164707781,1.60976188715391,8486.83126557536,29.196191,-82.978538,156182762010854,462
"13",394.00600447,18.5,12.940036384677,2.32485855919482,11566.2901804498,27.69,-82.42,156180904010854,554
"14",792.31682868,14.4,9.5169201310432,2.5089795445516,11825.4762202437,30.636598,-86.578165,156171491010854,637
"15",674.42323221,12.7,9.65308893202963,1.38964129946417,9211.08392914314,28.473869,-81.249663,156171855010854,673
"16",647.58714657,11.9,7.85452867488342,2.15681205377152,5809.9630103862,27.384247,-82.103219,20235797010478,711
"17",297.2914724,7.1,6.15,0.571701062849421,1268.0943962612,30.993435,-85.593211,134678403010854,731
"18",237.83317792,7.9,6.20625,0.900717306743168,1061.89103034697,30.577429,-85.099417,249673510010854,747
"19",386.47891412,12.9,7.83846153846154,1.90978049483744,3348.01043305697,30.798554,-86.1754,249673418010854,752
"20",312.15604602,6.7,5.72380952380952,0.50289637292862,1108.896768244,29.652211,-82.902163,43855617020004,765
