field_1,CN,PLT_CN,PREV_SIT_C,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DA,CREATED_IN,MODIFIED_B,MODIFIED_D,MODIFIED_I,CYCLE,SUBCYCLE,AGECHKCD_R,AGE_DETERM,CCLCD_RMRS,DAMAGE_AGE,SIBASE_AGE,SITETRCD_R,SITE_AGE_T,SITE_TREE_,SITREE_EQU,TREECLCD_R,TREE_ACT_R,YEAR_AGE_T,LAT,LON,AVG_TEMP(bioclim),SOC%weight(USA48)5cm,TOT_N%weight(USA48)5cm,SOC(USA48)15cm,TOT_N(USA48)15cm,AVG_SOC,AVG_TOTN,CN_RATIO(USA48),FIA_avg_soil_c,FIA_avg_soil_n,FIA_CN_RATIO,SOC(ORNL)g/m2,TOTN(ORNL)g/m2,CN_RATIO(ORNL)
1,2.05E+14,2.03E+13,NA,2002,12,1,1,11,2,1,131,14.9,65,25,2,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.843593,-82.541353,20.34897,36,21,16,10,26,15.5,1.677419355,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
2,2.05E+14,2.03E+13,NA,2002,12,1,1,19,1,1,121,17.5,68,47,1,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.599723,-82.502123,20.70206,25,21,13,7,19,14,1.357142857,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
3,2.05E+14,2.03E+13,NA,2002,12,1,1,48,1,1,611,13.8,80,32,34,94,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.827239,-82.491371,20.373,18,18,10,7,14,12.5,1.12,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
4,2.05E+14,2.03E+13,NA,2002,12,1,1,54,1,1,111,12.3,72,33,1,79,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.832683,-82.25153,20.30676,41,25,39,54,40,39.5,1.012658228,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
5,2.05E+14,2.03E+13,NA,2002,12,1,1,55,1,1,111,15.9,99,47,1,99,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.668322,-82.325962,20.30676,15,14,10,15,12.5,14.5,0.862068966,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
6,2.05E+14,2.03E+13,NA,2002,12,1,1,61,2,1,111,11.7,67,18,1,91,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.519516,-82.517789,20.70206,26,26,11,10,18.5,18,1.027777778,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
7,2.05E+14,1.37E+14,NA,2002,12,1,3,61,1,1,111,11.5,82,54,1,80,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.375134,-82.352616,19.75744,76,43,22,10,49,26.5,1.849056604,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
8,2.05E+14,1.37E+14,NA,2002,12,1,3,62,1,1,111,11.3,82,61,1,78,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.298842,-82.369461,19.78861,123,31,42,12,82.5,21.5,3.837209302,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
9,2.05E+14,1.73E+14,NA,2002,12,1,3,65,1,1,111,8.3,57,18,1,80,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.36858,-82.303194,19.82829,167,100,77,71,122,85.5,1.426900585,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
10,2.05E+14,1.73E+14,NA,2002,12,1,3,67,1,1,121,17.4,87,63,1,78,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.282271,-82.36592,19.78861,96,37,21,8,58.5,22.5,2.6,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
11,2.05E+14,2.03E+13,NA,2002,12,1,7,9,2,1,131,15.4,75,19,2,110,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.057265,-82.166451,20.07779,43,41,26,15,34.5,28,1.232142857,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
12,2.05E+14,2.03E+13,NA,2002,12,1,7,11,1,1,131,7.4,52,17,2,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.885029,-82.167102,20.18664,34,19,17,3,25.5,11,2.318181818,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
13,2.05E+14,2.03E+13,NA,2002,12,1,7,17,2,1,611,14.1,78,40,34,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.926136,-82.360866,20.27419,31,24,16,12,23.5,18,1.305555556,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
14,2.05E+14,2.03E+13,NA,2002,12,1,7,21,1,1,131,11.8,69,21,2,96,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.901926,-82.227269,20.18664,110,79,41,57,75.5,68,1.110294118,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
15,2.05E+14,2.03E+13,NA,2002,12,1,19,31,1,1,121,12.2,76,56,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.145254,-81.988313,20.28551,33,32,18,10,25.5,21,1.214285714,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
16,2.05E+14,2.03E+13,NA,2002,12,1,19,40,1,1,611,14.9,69,52,34,63,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.064688,-81.725055,20.58432,43,21,24,7,33.5,14,2.392857143,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
17,2.05E+14,2.03E+13,NA,2002,12,1,23,6,1,1,131,13.7,79,25,2,100,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.223223,-82.629804,19.84337,19,21,13,11,16,16,1,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
18,2.05E+14,2.03E+13,NA,2002,12,1,23,6,2,1,131,13.7,79,25,2,100,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.223223,-82.629804,19.84337,19,21,13,11,16,16,1,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
19,2.05E+14,2.03E+13,NA,2002,12,1,23,41,1,1,111,9,56,22,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.525723,-82.551311,19.57081,51,34,29,19,40,26.5,1.509433962,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
20,2.05E+14,2.03E+13,NA,2002,12,1,23,41,2,1,111,9,56,22,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.525723,-82.551311,19.57081,51,34,29,19,40,26.5,1.509433962,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
21,2.05E+14,1.73E+14,NA,2002,12,1,23,87,1,1,121,13.7,80,87,1,68,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.24141,-82.524132,19.84337,168,98,81,79,124.5,88.5,1.406779661,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
22,2.05E+14,2.04E+13,NA,2002,12,1,29,39,1,1,111,10,59,35,1,65,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.585302,-83.199856,20.27306,130,88,86,54,108,71,1.521126761,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
23,2.05E+14,2.04E+13,NA,2002,12,1,29,43,1,1,131,9,60,22,2,81,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.434894,-83.136996,20.47845,63,55,60,44,61.5,49.5,1.242424242,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
24,2.05E+14,2.04E+13,NA,2002,12,1,29,57,1,1,111,9,57,24,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.531779,-83.217579,20.27306,47,31,22,10,34.5,20.5,1.682926829,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
25,2.05E+14,2.04E+13,NA,2002,12,1,31,1,1,1,111,14.6,71,44,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.524366,-81.709322,20.01019,35,20,25,9,30,14.5,2.068965517,NA,NA,#VALUE!,14.46549988,0.545073,26.5386469
26,2.05E+14,2.04E+13,NA,2002,12,1,31,1,2,1,111,14.6,71,44,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.524366,-81.709322,20.01019,35,20,25,9,30,14.5,2.068965517,NA,NA,#VALUE!,14.46549988,0.545073,26.5386469
27,2.05E+14,2.04E+13,NA,2002,12,1,31,10,1,1,111,7.6,53,25,1,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.381015,-81.902588,19.98954,39,27,19,13,29,20,1.45,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
28,2.05E+14,2.04E+13,NA,2002,12,1,31,42,2,1,111,10.3,59,22,1,76,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.455317,-81.710191,20.36223,,,,,0,0,#DIV/0!,NA,NA,#VALUE!,14.46549988,0.545073,26.5386469
29,2.05E+14,2.03E+13,NA,2002,12,1,35,6,2,1,111,12.4,49,19,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.508511,-81.232715,21.01716,16,55,7,48,11.5,51.5,0.223300971,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
30,2.05E+14,2.03E+13,NA,2002,12,1,35,10,1,1,111,8.6,52,21,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.276588,-81.176303,21.12932,78,66,72,44,75,55,1.363636364,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
31,2.05E+14,2.03E+13,NA,2002,12,1,35,15,1,1,111,11.2,60,27,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.594566,-81.511336,20.82466,29,36,24,13,26.5,24.5,1.081632653,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
32,2.05E+14,2.03E+13,NA,2002,12,1,35,30,1,1,111,9.6,49,15,1,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.513418,-81.497804,20.78202,78,56,303,139,190.5,97.5,1.953846154,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
33,2.05E+14,2.03E+13,NA,2002,12,1,35,33,1,1,131,14.6,55,15,2,94,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.383666,-81.28597,21.06447,74,88,58,61,66,74.5,0.88590604,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
34,2.05E+14,2.03E+13,NA,2002,12,1,41,8,1,1,111,10.4,71,25,1,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.672424,-82.734722,20.37957,43,24,16,15,29.5,19.5,1.512820513,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
35,2.05E+14,2.03E+13,NA,2002,12,1,41,19,1,1,111,9.4,61,34,1,67,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.76196,-82.829575,20.37957,22,26,12,14,17,20,0.85,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
36,2.05E+14,2.03E+13,NA,2002,12,1,47,10,1,1,131,10.2,57,21,2,79,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.62879,-83.26407,19.67109,25,14,12,9,18.5,11.5,1.608695652,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
37,2.05E+14,2.03E+13,NA,2002,12,1,47,11,1,1,131,10.3,40,17,2,63,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.463967,-82.735083,19.84827,284,142,19,27,151.5,84.5,1.792899408,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
38,2.05E+14,2.03E+13,NA,2002,12,1,47,21,1,1,827,5.8,41,18,28,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.422224,-83.164313,19.84455,23,27,11,12,17,19.5,0.871794872,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
39,2.05E+14,2.03E+13,NA,2002,12,1,47,21,2,1,827,5.8,41,18,28,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.422224,-83.164313,19.84455,23,27,11,12,17,19.5,0.871794872,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
40,2.05E+14,2.03E+13,NA,2002,12,1,67,3,1,1,111,8.4,64,19,1,86,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.835958,-82.966287,20.26093,32,13,17,0,24.5,6.5,3.769230769,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
41,2.05E+14,2.03E+13,NA,2002,12,1,67,26,1,1,131,6.9,52,15,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.915749,-83.238904,19.96578,38,35,21,15,29.5,25,1.18,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
42,2.05E+14,2.03E+13,NA,2002,12,1,67,26,2,1,131,6.9,52,15,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.915749,-83.238904,19.96578,38,35,21,15,29.5,25,1.18,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
43,2.05E+14,2.03E+13,NA,2002,12,1,67,29,2,1,111,9.3,68,23,1,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.906902,-82.946702,20.26093,28,16,16,7,22,11.5,1.913043478,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
44,2.05E+14,2.03E+13,NA,2002,12,1,67,30,1,1,111,6.4,42,15,1,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.214107,-83.288668,19.90672,25,12,20,6,22.5,9,2.5,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
45,2.05E+14,2.03E+13,NA,2002,12,1,75,19,1,1,131,15,85,41,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.047361,-82.699275,20.96572,39,33,48,16,43.5,24.5,1.775510204,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
46,2.05E+14,2.03E+13,NA,2002,12,1,75,25,1,1,611,12.8,81,52,34,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.226934,-82.624756,20.94223,114,100,113,59,113.5,79.5,1.427672956,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
47,2.05E+14,2.03E+13,NA,2002,12,1,75,35,1,1,131,16.3,60,18,2,91,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.272882,-82.879453,20.68137,46,51,63,35,54.5,43,1.26744186,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
48,2.05E+14,2.03E+13,NA,2002,12,1,75,72,1,1,131,12.6,66,22,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.221858,-82.899529,20.68137,46,47,28,40,37,43.5,0.850574713,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
49,2.05E+14,2.03E+13,NA,2002,12,1,75,84,1,1,131,10.6,63,20,2,90,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.360451,-82.426665,20.79311,36,36,28,15,32,25.5,1.254901961,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
50,2.05E+14,2.03E+13,NA,2002,12,1,79,8,1,1,111,12.2,62,27,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.295178,-83.383444,19.62742,230,87,193,88,211.5,87.5,2.417142857,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
51,2.05E+14,2.03E+13,NA,2002,12,1,79,10,1,1,131,9.7,50,17,2,78,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.546516,-83.590497,19.45204,168,111,155,103,161.5,107,1.509345794,NA,NA,#VALUE!,7.234200001,0.545073,13.27198375
52,2.05E+14,2.03E+13,NA,2002,12,1,79,18,1,1,131,15.9,71,56,2,68,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.371379,-83.625398,19.55025,29,26,14,9,21.5,17.5,1.228571429,NA,NA,#VALUE!,7.234200001,0.545073,13.27198375
53,2.05E+14,2.03E+13,NA,2002,12,1,79,20,1,1,131,7.2,48,15,2,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3633,-83.212568,19.87279,20,21,12,8,16,14.5,1.103448276,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
54,2.05E+14,2.03E+13,NA,2002,12,1,79,29,1,1,131,10,68,27,2,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.308809,-83.23655,19.90672,29,20,20,16,24.5,18,1.361111111,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
55,2.05E+14,2.03E+13,NA,2002,12,1,79,38,1,1,111,6.3,51,16,1,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.517816,-83.281229,19.67109,21,21,17,10,19,15.5,1.225806452,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
56,2.05E+14,2.03E+13,NA,2002,12,1,79,41,1,1,131,8.7,48,17,2,75,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.377703,-83.350908,19.66632,31,26,18,14,24.5,20,1.225,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
57,2.05E+14,2.03E+13,NA,2002,12,1,83,3,1,1,131,8.3,46,18,2,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.080183,-82.19141,21.20897,17,9,9,7,13,8,1.625,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
58,2.05E+14,2.03E+13,NA,2002,12,1,83,4,1,1,121,20.2,73,70,1,64,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.432857,-81.810193,20.85531,18,18,11,9,14.5,13.5,1.074074074,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
59,2.05E+14,2.03E+13,NA,2002,12,1,83,31,1,1,107,10.8,59,53,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.219804,-81.767171,20.85199,70,19,57,10,63.5,14.5,4.379310345,NA,NA,#VALUE!,8.796859741,0.545073,16.13886533
60,2.05E+14,2.03E+13,NA,2002,12,1,83,40,3,1,107,9.2,57,20,3,101,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.202564,-81.931361,20.81847,29,26,16,12,22.5,19,1.184210526,NA,NA,#VALUE!,8.796859741,0.545073,16.13886533
61,2.05E+14,2.03E+13,NA,2002,12,1,83,42,1,1,111,8.6,42,15,1,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.988181,-81.868973,21.54789,16,5,12,3,14,4,3.5,NA,NA,#VALUE!,8.796859741,0.545073,16.13886533
62,2.05E+14,2.03E+13,NA,2002,12,1,83,58,1,1,111,14.3,91,60,1,87,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.042864,-81.836044,21.20464,39,21,30,8,34.5,14.5,2.379310345,NA,NA,#VALUE!,8.796859741,0.545073,16.13886533
63,2.05E+14,2.03E+13,NA,2002,12,1,83,60,1,1,107,9.5,50,37,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847,30,23,19,10,24.5,16.5,1.484848485,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
64,2.05E+14,2.03E+13,NA,2002,12,1,83,60,1,2,111,16.1,72,48,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847,30,23,19,10,24.5,16.5,1.484848485,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
65,2.05E+14,2.03E+13,NA,2002,12,1,83,60,2,1,107,9.5,50,37,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847,30,23,19,10,24.5,16.5,1.484848485,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
66,2.05E+14,2.03E+13,NA,2002,12,1,83,90,1,1,107,11.2,61,38,3,68,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.136,-81.644002,21.11617,33,25,18,8,25.5,16.5,1.545454545,NA,NA,#VALUE!,8.796859741,0.545073,16.13886533
67,2.05E+14,2.03E+13,NA,2002,12,1,83,95,1,1,111,9.7,55,30,1,64,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.153186,-82.512956,21.10983,20,15,11,4,15.5,9.5,1.631578947,NA,NA,#VALUE!,16.89570045,0.545073,30.99713332
68,2.05E+14,2.03E+13,NA,2002,12,1,83,99,1,1,131,16.3,72,67,2,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.212306,-82.047999,21.05234,19,23,10,11,14.5,17,0.852941176,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
