OID,LON,LAT,ai_et0_NAD,wc2_1_30s_,SOC5_15_NA,SOC0_5_NAD,N5_15_NAD8,N0_5_NAD83
-1,-87.260000000000005,30.859999999999999,10461,19.0916996,173,504,184,608
-1,-84.549999999999997,30.260000000000002,9671,19.5249996,165,553,392,1380
-1,-83.250000000000000,29.989999999999998,8895,19.9500008,151,548,620,1702
-1,-82.040000000000006,29.800000000000001,7979,20.4249992,115,208,188,1331
-1,-81.599999999999994,28.120000000000001,6938,22.4624996,280,270,373,936
-1,-80.219999999999999,26.370000000000001,8276,23.8792000,-9999,-9999,-9999,-9999
