"","Observed_Diameter","Modeled_Diameter","Age","Tree_Density","Temperature","Temp2","Aridity","Soil_CN","Observed_Biomass","Modeled_Biomass","sd.tasb","sd.dbh"
"46",4.257469193,3.30876357204997,19,2330,19.9328537,397.318656625604,0.8936,45.8394819185383,3695.800993,3594.30726969597,96.1893889677612,0.0460922293910547
"48",8.138128284,3.89658889304821,38,703,21.51011467,462.685033116549,0.7371,41.6871239669422,5900.988643,1954.28501128787,138.067193594371,0.133035912765748
"84",8.284996771,4.37672950377517,40,545,23.41387558,548.20956967572,0.7335,56.3823846153846,4715.258702,1990.33012519437,131.830546968925,0.139586244083473
"95",5.614093448,5.38096485308034,57,646,20.06894112,402.762397678027,0.9242,52.9194266225713,2550.58836,4339.1542037321,152.751463276786,0.0866077851786631
"98",10.35476924,4.83865656623998,53,671,22.7857666,519.191159549675,0.7156,39.3354821428571,11025.97563,3565.93442428812,161.691729532407,0.0738358364984367
"126",3.037813899,3.28902692588325,122,2675,19.64860344,386.06761714238,0.9964,61.7785384615385,7275.318402,5567.03479843511,227.548538218307,0.0403319143568953
"143",7.487804878,4.59754515090951,27,609,22.80924034,520.261444887883,0.7149,64.6742623239437,4075.605321,2161.75414664868,136.721647613627,0.132621751735035
"151",7.228571429,4.31532492187026,34,312,20.00640678,400.25631224683,0.8325,42.684252994012,1934.016771,1045.80393160676,68.4064038541713,0.070841328171576
"152",7.422727273,6.44345814103774,38,327,24.32198906,591.55915183476,0.7269,84.2742120322817,2145.063929,2362.97349515048,92.9580186942158,0.152168278503575
"156",6.433714741,3.76223930594164,26,1047,20.2641468,410.63564553195,0.8423,46.1381237980769,4942.764468,2383.48188904027,91.8983052641827,0.0579052161200447
"186",6.132785303,3.55566968775272,21,914,20.65817642,426.760252999844,0.7803,37.0493490304709,3601.988131,1747.38527745398,62.2244325089457,0.0526886750194092
"193",8.648148148,3.18512250730998,51,401,19.36625099,375.051677407676,0.993,46.6600407523511,3900.32903,678.030842705857,49.3576457569918,0.0743293510624258
"199",9.447619048,3.43217567985428,47,312,18.95273972,359.206342894066,0.9086,87.3231234991424,4047.801993,634.42834527338,89.1159088207107,0.190254887151939
"221",7.209836066,3.37806242462895,51,907,19.72533417,389.08880811817,0.9561,47.6487021276596,5646.590281,1818.15873712881,122.012791923571,0.100101430564903
"237",7.951020408,3.51948014560856,55,728,19.84677505,393.894479885303,0.9882,53.0161461649783,5869.870508,1621.23040058971,92.4023270579686,0.0784432718121879
"268",5.802973205,4.7060825885702,39,1038,22.34768677,499.419103970033,0.7046,51.2438560953254,4660.437826,4780.05463249834,216.327415444386,0.11415035989311
"316",7.535714286,3.40510732358467,31,416,19.6550312,386.320251472973,0.9089,52.5748234453181,2850.153466,754.58243182652,56.2067634774054,0.0859871888905744
"332",5.980866311,3.92626708242278,20,1047,22.47133255,504.960786572689,0.7219,57.7198464185174,3764.926512,2440.8131090074,59.1532520344304,0.0572701797351844
"342",7.37165732,4.65027817464152,55,572,21.65648651,469.003407957812,0.7542,46.0839306930693,5409.221429,2792.67730754978,180.390316785418,0.119399696488168
"371",2.56574718,3.83041123840627,29,2549,22.05259323,486.316868167842,0.7162,44.7510349344978,2449.239849,6628.97805353536,241.88017904335,0.0763418134751206
