"","X","OID","PLT_CN","LAT","LON","TIME_INT","wc2_1_30s_","ai_et0_NAD","SOC0_5_NAD","SOC5_15NAD","N5_15_NAD","N0_5_NAD","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end","Plot","species"
"144",144,-1,374861676490000,30.604443,-82.912796,6,19.4666996,8335,589,136,228,1470,28.7,6.42,4.47040498442368,52.4041557632399,0.8335,42,42,"Validation","Slash"
"145",1,-1,20333471010500,30.217986,-84.427137,7,19.5708008,9656,526,157,477,1383,28,7.79,3.59435173299101,46.9621129653402,0.9656,225,354,"Calibration","Longleaf"
"146",2,-1,20304460010500,28.625735,-81.689058,7,21.7791996,7141,-9999,-9999,-9999,-9999,-999.9,-99.99,10,86.754,NA,NA,NA,NA,"Longleaf"
"147",3,-1,20271309010500,27.517255,-82.385035,6,22.6166992,7211,604,450,1368,1734,50.1333333333333,14.9,3.36465324384787,45.535225950783,0.7211,12,12,"Calibration","Longleaf"
"148",4,-1,289515834490000,27.670665,-81.354235,12,22.3999996,6927,548,639,1061,1330,60.8666666666667,11.5066666666667,5.28968713789108,57.4935365005794,0.6927,6,12,"Validation","Longleaf"
"149",5,-1,289515455490000,26.952103,-81.752718,11,22.7999992,7113,531,724,1098,1589,65.9666666666667,12.6166666666667,5.22853368560106,57.1136512549538,0.7113,225,186,NA,"Longleaf"
"150",6,-1,374860903490000,30.577429,-85.099417,13,19.2749996,9203,332,100,106,571,17.7333333333333,2.61,6.79438058748404,66.8406922094508,0.9203,75,120,"Validation","Longleaf"
"151",7,-1,374861993490000,27.835605,-80.526395,13,22.5167007,7016,475,494,1229,1381,48.7666666666667,12.7966666666667,3.810888252149,48.3072378223496,0.7016,81,12,NA,"Longleaf"
"152",8,-1,218219098020000,30.37141,-82.652928,6,19.8458004,8389,490,130,199,1534,25,6.44,3.88198757763975,48.7489068322981,0.8389,75,117,"Validation","Longleaf"
"153",9,-1,218217950020000,30.516932,-85.165759,6,19.3582993,9206,321,100,316,1360,17.3666666666667,6.64,2.61546184738956,40.8812489959839,0.9206,42,96,"Calibration","Longleaf"
"154",10,-1,218218431020000,28.339762,-81.105866,5,21.9750004,7232,937,1044,1363,1621,100.833333333333,14.49,6.95882217621348,67.8622033586381,0.7232,87,30,NA,"Longleaf"
"155",11,-1,289515800490000,29.390046,-81.796209,5,20.7332993,7859,329,165,569,1783,21.9666666666667,9.73666666666667,2.25607668606642,38.6487483738446,0.7859,36,36,"Calibration","Longleaf"
"156",12,-1,289515153490000,29.937359,-84.635256,6,20,9385,708,162,610,1542,34.4,9.20666666666667,3.73642288196959,47.8446589427951,0.9385,150,249,"Validation","Longleaf"
"157",13,-1,289514949490000,30.399563,-84.482698,5,19.3792,9702,555,141,335,1407,27.9,6.92333333333333,4.02985074626866,49.6674328358209,0.9702,84,84,"Validation","Longleaf"
"158",14,-1,289514998490000,30.147477,-84.991462,5,19.7000008,9744,463,146,578,1318,25.1666666666667,8.24666666666667,3.0517380759903,43.5913969280517,0.9744,165,165,"Calibration","Longleaf"
"159",15,-1,289515165490000,30.513087,-86.86226,5,19.5,9975,399,171,167,528,24.7,2.87333333333333,8.59628770301624,78.0341392111369,0.9975,54,54,"Validation","Longleaf"
"160",16,-1,289515918490000,27.975033,-81.07311,6,22.2374992,7003,716,654,646,893,67.4666666666667,7.28333333333333,9.26315789473684,82.1767368421053,0.7003,12,24,"Calibration","Longleaf"
"161",17,-1,374861301490000,30.221066,-82.477845,5,19.8666992,8428,551,143,251,1477,27.9,6.59666666666667,4.22940879231935,50.9070874178878,0.8428,12,12,"Validation","Longleaf"
"162",18,-1,374860899490000,30.808299,-85.003135,6,19.3917007,8741,554,120,184,583,26.4666666666667,3.17,8.34910620399579,76.4986477392219,0.8741,183,255,"Validation","Longleaf"
"163",19,-1,374862320490000,30.267277,-84.979594,7,19.5457993,9554,383,156,326,1452,23.1666666666667,7.01333333333333,3.3032319391635,45.1536768060837,0.9554,318,330,"Calibration","Longleaf"
"164",20,-1,374860942490000,30.486311,-86.736063,5,19.5832996,9929,405,122,162,414,21.6333333333333,2.46,8.7940379403794,79.2625636856368,0.9929,42,42,"Calibration","Longleaf"
"165",21,-1,374861009490000,30.940439,-86.994746,5,18.6417007,10524,381,133,108,429,21.5666666666667,2.15,10.031007751938,86.9466201550388,1.0524,81,168,"Calibration","Longleaf"
"166",22,-1,374861805490000,27.384247,-82.103219,7,22.4832993,7393,423,182,578,1205,26.2333333333333,7.87,3.33333333333333,45.3406666666667,0.7393,72,24,NA,"Longleaf"
"167",23,-1,374861881490000,28.01776,-80.889423,5,22.1833,7076,632,412,801,1310,48.5333333333333,9.70666666666667,5,55.694,0.7076,18,18,"Calibration","Longleaf"
"168",1,-1,20347303010500,30.057265,-82.166451,7,20.1208,8212,547,171,622,1679,29.6333333333333,9.74333333333333,3.04139582620595,43.5271508723914,0.8212,147,141,NA,"Loblolly"
"169",2,-1,374860910490000,30.66734,-84.194805,12,19.2416992,9085,297,135,97,547,18.9,2.47,7.65182186234818,72.1671174089069,0.9085,36,36,"Validation","Loblolly"
"170",3,-1,259178136011000,30.471115,-85.231998,7,19.3582993,9459,751,142,360,1228,34.5,6.49333333333333,5.31314168377823,57.6392361396304,0.9459,6,381,"Calibration","Loblolly"
"171",4,-1,43854921020000,30.586785,-81.841223,6,20.0792007,8204,680,235,539,1266,38.3333333333333,7.81333333333333,4.9061433447099,55.1109624573379,0.8204,375,1164,"Validation","Loblolly"
"172",5,-1,43854902020000,29.953301,-83.398123,6,19.9582996,8995,751,176,942,1675,36.7666666666667,11.8633333333333,3.09918516437201,43.886138241079,0.8995,654,795,"Calibration","Loblolly"
"173",6,-1,218218359020000,29.138951,-81.934402,5,20.8957996,7702,585,326,1860,2029,41.2333333333333,19.1633333333333,2.15167855279179,38.0002271699426,0.7702,6,81,"Validation","Loblolly"
"174",7,-1,289515438490000,29.774428,-82.111351,7,20.2583008,8076,502,147,716,1659,26.5333333333333,10.3033333333333,2.57521837593012,40.6312565512779,0.8076,75,195,"Validation","Loblolly"
"175",8,-1,374861569490000,29.564131,-82.128549,6,20.4750004,7946,446,141,865,1779,24.2666666666667,11.6966666666667,2.07466514676546,37.521819891707,0.7946,210,444,"Calibration","Loblolly"
"176",9,-1,374861300490000,30.12501,-82.38266,6,19.9666996,8388,415,123,339,1710,22.0333333333333,7.96,2.7680067001675,41.8288576214405,0.8388,723,594,NA,"Loblolly"
"177",10,-1,374861151490000,30.857073,-86.444522,5,18.6583004,10076,489,140,176,576,25.6333333333333,3.09333333333333,8.28663793103448,76.1105948275862,1.0076,768,801,"Calibration","Loblolly"
