OID,LON,LAT,ai_et0_N_1,wc2_1_30s1,SOC5_15__1,SOC0_5_N_1,N5_15_NA_1,N0_5_NAD_1
-1,-83.250000000000000,29.989999999999998,8895,19.9500008,151,548,620,1702
-1,-82.040000000000006,29.800000000000001,7979,20.4249992,115,208,188,1331
-1,-85.171616722600007,30.315701384200000,9618,19.4542007,176,540,417,1305
-1,-86.651191658200005,30.743754510300001,10193,18.9500008,148,847,218,567
-1,-82.203161348600005,27.514745059599999,7296,22.4958000,165,279,633,1240
