"","V1"
"1",3.37938806800892
"2",3.43066815022713
"3",3.44275610268056
"4",4.00448624079735
"5",4.04767212483977
"6",4.08940168031814
"7",4.70289445411128
"8",4.71265310767548
"9",4.75109488039113
"10",4.99340689351132
"11",4.99200752749884
"12",4.90620643968004
"13",5.22998736018664
"14",5.22371799676519
"15",5.10731056080697
"16",5.34971378649573
"17",5.27070711194103
"18",5.30706280274773
