"","V1"
"1",2.81297087818406
"2",2.82699323965716
"3",2.83524611773612
"4",3.9051259809075
"5",3.99790711878754
"6",4.03835716437847
"7",5.8544921136667
"8",5.72197298867915
"9",5.74608058245127
"10",6.54934671509489
"11",6.56940813718937
"12",6.55422286563043
"13",7.98118383821639
"14",7.7441702319326
"15",7.92742790562718
"16",8.55909973287507
"17",8.41793642973537
"18",8.36136386889825
