"","V1"
"1",3.00479686033679
"2",2.9212163688487
"3",2.97235458895
"4",4.20983085349248
"5",4.1991510076138
"6",4.21226213481145
"7",6.11019907693926
"8",6.14790982311621
"9",6.11941804599417
"10",6.78970991684771
"11",6.74723085319031
"12",6.92036966632763
"13",8.05116392163314
"14",8.12856480547871
"15",8.09813960671644
"16",8.86505492072619
"17",8.87582232735744
"18",8.74872980257735
