"","V1"
"1",2.89588323282724
"2",2.87507296513124
"3",2.87986337055725
"4",4.03248833996635
"5",4.07640147010325
"6",3.98909978095542
"7",5.5621081234629
"8",5.90683059452738
"9",5.84070889690219
"10",6.73144227086592
"11",6.4893426793585
"12",6.58074333709283
"13",7.78143629297703
"14",7.77088803225418
"15",7.82278228136225
"16",8.83014972741688
"17",8.56844531419586
"18",8.53101955426757
